
1744980925,0,18805.0000
1744986990,1,21318.0000
1744987861,2,21318.0000
1744988693,3,21318.0000
1744989528,4,22378.0000
1744990316,5,22378.0000
1744991140,6,23723.0000
1744991932,7,23723.0000
1744992786,8,23723.0000
1744993669,9,25120.0000
1744994490,10,26654.0000
1744995349,11,27045.0000
1744996230,12,27045.0000
1744997043,13,27045.0000
1744997810,14,28701.0000
1744998593,15,28701.0000
1744999400,16,28701.0000
1745000210,17,28701.0000
1745001074,18,30169.0000
1745001822,19,30169.0000
1745002652,20,30169.0000
1745003460,21,30169.0000
1745004259,22,30169.0000
1745005067,23,31128.0000
1745005928,24,31128.0000
1745006736,25,31128.0000
1745007555,26,31128.0000
1745008331,27,31128.0000
1745009054,28,31128.0000
1745009858,29,31523.0000
1745010710,30,31523.0000
1745011523,31,31523.0000
1745012136,32,32570.0000
1745012677,33,32570.0000
1745013277,34,32570.0000
1745013803,35,32570.0000
1745014400,36,32570.0000
1745015211,37,32570.0000
1745016019,38,32570.0000
1745016830,39,32570.0000
1745017602,40,33959.0000
1745018455,41,34621.0000
1745019258,42,35940.0000
1745020064,43,35940.0000
1745020917,44,35940.0000
1745021722,45,35940.0000
1745022525,46,35940.0000
1745023372,47,35940.0000
1745024276,48,35940.0000
1745024990,49,35940.0000
1745025810,50,35940.0000
1745026557,51,35940.0000
1745027341,52,35940.0000
1745028173,53,35940.0000
1745028963,54,35940.0000
1745029726,55,36170.0000
1745030517,56,38780.0000
1745031317,57,38780.0000
1745032103,58,38780.0000
1745032909,59,38780.0000
1745033674,60,38780.0000
1745034573,61,38780.0000
1745035349,62,38780.0000
1745036113,63,38780.0000
1745036840,64,38891.0000
1745037609,65,38891.0000
1745038356,66,38891.0000
1745039122,67,38891.0000
1745039869,68,38891.0000
1745040668,69,38891.0000
1745041494,70,38891.0000
1745042306,71,38891.0000
1745043095,72,38891.0000
1745043828,73,38891.0000
1745044553,74,38891.0000
1745045363,75,38891.0000
1745046247,76,38891.0000
1745047015,77,38891.0000
1745047801,78,38891.0000
1745048667,79,38891.0000
1745049450,80,38891.0000
1745050289,81,38891.0000
1745051111,82,38891.0000
1745051881,83,38891.0000
1745052737,84,38891.0000
1745053491,85,38891.0000
1745054265,86,38891.0000
1745055071,87,38891.0000
1745055837,88,38891.0000
1745056666,89,39975.0000
1745057458,90,39975.0000
1745058314,91,39975.0000
1745059086,92,39975.0000
1745059916,93,40710.0000
1745060640,94,40710.0000
1745061465,95,40710.0000
1745062264,96,40710.0000
1745062993,97,40710.0000
1745063781,98,40710.0000
